product_category_name,product_category_name_english,main_category,sub_category
agro_industria_e_comercio,agro_industry_and_commerce,agro_industry_and_commerce,NA
climatizacao,air_conditioning,air_conditioning,NA
artes,art,art,NA
artes_e_artesanato,arts_and_craftmanship,arts_and_craftmanship,NA
audio,audio,audio,NA
automotivo,auto,auto,NA
bebes,baby,baby,NA
cama_mesa_banho,bed_bath_table,bed_bath_table,NA
livros_interesse_geral,books_general_interest,books,general_interest
livros_importados,books_imported,books,imported
livros_tecnicos,books_technical,books,technical
cds_dvds_musicais,cds_dvds_musicals,cds_dvds_musicals,NA
artigos_de_natal,christmas_supplies,christmas_supplies,NA
cine_foto,cine_photo,cine_photo,NA
pcs,computers,computers,others
informatica_acessorios,computers_accessories,computers,accessories
consoles_games,consoles_games,consoles_games,NA
construcao_ferramentas_construcao,construction_tools_construction,construction_tools,construction
construcao_ferramentas_iluminacao,construction_tools_lights,construction_tools,lights
construcao_ferramentas_seguranca,construction_tools_safety,construction_tools,safety
cool_stuff,cool_stuff,cool_stuff,NA
construcao_ferramentas_jardim,costruction_tools_garden,construction_tools,garden
construcao_ferramentas_ferramentas,costruction_tools_tools,construction_tools,tools
fraldas_higiene,diapers_and_hygiene,diapers_and_hygiene,NA
bebidas,drinks,drinks,NA
dvds_blu_ray,dvds_blu_ray,dvds_blu_ray,NA
eletronicos,electronics,electronics,NA
fashion_roupa_feminina,fashio_female_clothing,fashion,female_clothing
fashion_bolsas_e_acessorios,fashion_bags_accessories,fashion,bags_accessories
fashion_roupa_infanto_juvenil,fashion_childrens_clothes,fashion,childrens_clothes
fashion_roupa_masculina,fashion_male_clothing,fashion,male_clothing
fashion_calcados,fashion_shoes,fashion,shoes
fashion_esporte,fashion_sport,fashion,sport
fashion_underwear_e_moda_praia,fashion_underwear_beach,fashion,underwear_beach
telefonia_fixa,fixed_telephony,fixed_telephony,NA
flores,flowers,flowers,NA
alimentos,food,food,others
alimentos_bebidas,food_drink,food,drink
moveis_quarto,furniture_bedroom,furniture,bedroom
moveis_decoracao,furniture_decor,furniture,décor
moveis_sala,furniture_living_room,furniture,living_room
moveis_colchao_e_estofado,furniture_mattress_and_upholstery,furniture,mattress_and_upholstery
ferramentas_jardim,garden_tools,garden_tools,NA
beleza_saude,health_beauty,health_beauty,NA
eletrodomesticos,home_appliances,home,appliances
eletrodomesticos_2,home_appliances_2,home,appliances_2
casa_conforto_2,home_comfort_2,home,comfort_2
casa_conforto,home_confort,home,comfort
casa_construcao,home_construction,home,construction
utilidades_domesticas,housewares,housewares,NA
industria_comercio_e_negocios,industry_commerce_and_business,industry_commerce_and_business,NA
moveis_cozinha_area_de_servico_jantar_e_jardim,kitchen_dining_laundry_garden_furniture,kitchen_dining_laundry_garden_furniture,NA
la_cuisine,la_cuisine,la_cuisine,NA
malas_acessorios,luggage_accessories,luggage_accessories,NA
market_place,market_place,market_place,NA
musica,music,music,NA
instrumentos_musicais,musical_instruments,musical_instruments,NA
moveis_escritorio,office_furniture,office_furniture,NA
artigos_de_festas,party_supplies,party_supplies,NA
perfumaria,perfumery,perfume,NA
pet_shop,pet_shop,pet_shop,NA
seguros_e_servicos,security_and_services,security_and_services,NA
sinalizacao_e_seguranca,signaling_and_security,signaling_and_security,NA
eletroportateis,small_appliances,small_appliances,others
portateis_casa_forno_e_cafe,small_appliances_home_oven_and_coffee,small_appliances,home_oven_and_coffee
esporte_lazer,sports_leisure,sports_leisure,NA
papelaria,stationery,stationery,NA
tablets_impressao_imagem,tablets_printing_image,tablets_printing_image,NA
telefonia,telephony,telephony,NA
brinquedos,toys,toys,NA
relogios_presentes,watches_gifts,watches_gifts,NA
